chronID,totalQanswered,totalQpossible,DVRoles_,DVRoles_Freelance,DVRoles_Employee,DVRoles_Hobbyist,DVRoles_Student,DVRoles_Academic,DVRoles_PassiveIncome,DVRoles_PreferNot,YearsDVExperience,YearsWorkExperience,PayCurrency_cleaned,PayAnnual,PayHourly,PDFundAccess,PDFundUse_,PDFundUse_ConferenceRegistration,PDFundUse_ConferenceTravel,PDFundUse_SoftwareLicenses,PDFundUse_Workshops,PDFundUse_Memberships,PDFundUse_Books,PDFundUse_Tuition,PDFundUse_DataLicensing,PDFundUse_Other__,RoleAsFreelance,DVCentralityFreelance,ToolsChoiceFreelance,ToolsUnchoiceProblemsFreelance__,AudienceFreelance_,AudienceFreelance_Public,AudienceFreelance_Analysts,AudienceFreelance_Engineers,AudienceFreelance_Scientists,AudienceFreelance_Medical,AudienceFreelance_ProdProjManagers,AudienceFreelance_PolicyMakers,AudienceFreelance_Execs,AudienceFreelance_Designers,AudienceFreelance_Researchers,AudienceFreelance_Students,AudienceFreelance_Educators,AudienceFreelance_DVEnthusiasts,AudienceFreelance_Self,AudienceFreelance_Other__,RoleAsEmployee,DVCentralityEmployee,ToolsChoiceEmployee,ToolsUnchoiceProblemsEmployee__,AudienceEmployee_,AudienceEmployee_Public,AudienceEmployee_Analysts,AudienceEmployee_Engineers,AudienceEmployee_Scientists,AudienceEmployee_Medical,AudienceEmployee_ProdProjManagers,AudienceEmployee_PolicyMakers,AudienceEmployee_Execs,AudienceEmployee_Designers,AudienceEmployee_Researchers,AudienceEmployee_Students,AudienceEmployee_Educators,AudienceEmployee_DVEnthusiasts,AudienceEmployee_Self,AudienceEmployee_Other__,OrgSector_,OrgSector_Journalism,OrgSector_Public,OrgSector_Private,OrgSector_Nonprofit,OrgSector_HealthMed,OrgSector_IT,OrgSector_Marketing,OrgSector_Finance,OrgSector_Academia,OrgSector_ConsultantMulti,OrgSector_Other__,OrgSize,DVOrgLeadership,AcadArea,AcadDVUse_,AcadDVUse_ShareFindings,AcadDVUse_TeachDV,AcadDVUse_OtherTeaching,AcadDVUse_ResearchTopic,AcadDVUse_Other__,StudentTime,StudentDegreeLevel,StudentDVTaught,StudentDegreeArea__,HobbyTime,HobbyEnjoyment,HobbyPortfolio,HobbyVolunteer,HobbyShareMessages,HobbyBuildSkills,ToolsForDV_,ToolsForDV_ArcGIS,ToolsForDV_D3,ToolsForDV_Angular,ToolsForDV_Datawrapper,ToolsForDV_Excel,ToolsForDV_Flourish,ToolsForDV_ggplot2,ToolsForDV_Gephi,ToolsForDV_GoogleDataStudio,ToolsForDV_Highcharts,ToolsForDV_Illustrator,ToolsForDV_Java,ToolsForDV_Leaflet,ToolsForDV_Mapbox,ToolsForDV_KeplerGL,ToolsForDV_Observable,ToolsForDV_Plotly,ToolsForDV_PowerBI,ToolsForDV_PowerPoint,ToolsForDV_Python,ToolsForDV_QGIS,ToolsForDV_Qlik,ToolsForDV_R,ToolsForDV_React,ToolsForDV_Tableau,ToolsForDV_Vega,ToolsForDV_Vue,ToolsForDV_WebComponents,ToolsForDV_WebGL,ToolsForDV_PenPaper,ToolsForDV_PhysicalMaterials,ToolsForDV_Canvas,ToolsForDV_P5orProcessing,ToolsForDV_Other__,ChartsUsed_,ChartsUsed_Line,ChartsUsed_Bar,ChartsUsed_PieOrDonut,ChartsUsed_Scatterplot,ChartsUsed_Histogram,ChartsUsed_HexbinOrHeatmap,ChartsUsed_Infographic,ChartsUsed_Pictorial,ChartsUsed_Treemap,ChartsUsed_Dendrogram,ChartsUsed_Network,ChartsUsed_ChoroplethMap,ChartsUsed_RasterMap,ChartsUsed_Waffle,ChartsUsed_Flow,ChartsUsed_3D,ChartsUsed_VRorAR,ChartsUsed_BeeSwarm,ChartsUsed_ForceDirected,ChartsUsed_Other__,DVSharingChannels_,DVSharingChannels_EmbeddedInTool,DVSharingChannels_Dashboard,DVSharingChannels_Scrollytelling,DVSharingChannels_StaticWebPage,DVSharingChannels_InteractiveNotebook,DVSharingChannels_DocumentOrReport,DVSharingChannels_Presentations,DVSharingChannels_Email,DVSharingChannels_NewspaperorMagazine,DVSharingChannels_PeerReviewedJournal,DVSharingChannels_PrintedOnPaper,DVSharingChannels_OtherPhysicalMedium,DVSharingChannels_VRorAR,DVSharingChannels_Installation,DVSharingChannels_App,DVSharingChannels_Video,DVSharingChannels_SocialMedia,DVSharingChannels_Other__,TopFrustrationsDV_,TopFrustrationsDV_LackTime,TopFrustrationsDV_LackDesignExpertise,TopFrustrationsDV_LackTechSkill,TopFrustrationsDV_LearningNewToolsEtc,TopFrustrationsDV_AccessingData,TopFrustrationsDV_InfoOverload,TopFrustrationsDV_LackCollaboration,TopFrustrationsDV_LackMentorship,TopFrustrationsDV_LowDataLiteracy,TopFrustrationsDV_DVNotRespected,TopFrustrationsDV_ToolsTechLimits,TopFrustrationsDV_NonVizActivity,TopFrustrationsDV_DataVolume,TopFrustrationsDV_Other__,EntryBarriers__,DVNotUnderstood__,EmployChanged,EmployChangedByCOVID,EmployNewWanted,COVIDNegEffects_,COVIDNegEffects_PositionCut,COVIDNegEffects_PayCutPermanent,COVIDNegEffects_PayCutTemporary,COVIDNegEffects_PayRaiseDeferred,COVIDNegEffects_BenefitsReduced,COVIDNegEffects_No,COVIDNegEffects_Other__,TopDVSkillsToImprove,TopDVSkillsToImprove_Other__,TopMethodsDVEduc_,TopMethodsDVEduc_Books,TopMethodsDVEduc_Workshops,TopMethodsDVEduc_Examples,TopMethodsDVEduc_VideoTutorials,TopMethodsDVEduc_CollaborateWithMoreSkilled,TopMethodsDVEduc_WorkThroughProject,TopMethodsDVEduc_MentororTeach,TopMethodsDVEduc_Podcasts,TopMethodsDVEduc_InPersonFormats,TopMethodsDVEduc_VirtualFormats,TopMethodsDVEduc_Other__,TopIssuesDV_,TopIssuesDV_LackAwarenessOfDVImpact,TopIssuesDV_NoSeatAtTableForDV,TopIssuesDV_DiversityInTech,TopIssuesDV_IncomeInequality,TopIssuesDV_LackDVLiteracy,TopIssuesDV_DesignForDisabilities,TopIssuesDV_LackEducationAccess,TopIssuesDV_AlgorithmicBias,TopIssuesDV_LackEthicalStandards,TopIssuesDV_LackSoftwareLiteracy,TopIssuesDV_Other__,DVGoTos__,Loc1Country,Gender_summarized,RacEthHistUnderrep_,EducLevel,EducUndergradArea_,EducUndergradArea_ArtsHumanities,EducUndergradArea_Business,EducUndergradArea_Education,EducUndergradArea_HealthMed,EducUndergradArea_PublicSocialServices,EducUndergradArea_ScienceMathTech,EducUndergradArea_SocialSciences,EducUndergradArea_TradesPersonalServices,EducUndergradArea_MultiInterdisc,EducUndergradArea_Other__,EducGradArea_,EducGradArea_ArtsHumanities,EducGradArea_Business,EducGradArea_Education,EducGradArea_HealthMed,EducGradArea_PublicSocialServices,EducGradArea_ScienceMathTech,EducGradArea_SocialSciences,EducGradArea_TradesPersonalServices,EducGradArea_MultiInterdisc,EducGradArea_Other__,DVSMembership,minutesInSurvey,surveyCompletionPage,branchingErrors
104,60,60,4,Freelance/Consultant/Independent contractor,Position in an organization with some dataviz job responsibilities,Non-compensated data visualization hobbyist,,Academic/Teacher,,,3,11–15,RUB - Russian Ruble,"$10,000 - $19,999",$15 - $29,No,5,Conference registration,Conference travel and lodging,Data visualization software licenses,,,Professional books,Tuition for graduate coursework,,,Analyst,Data visualization is the primary focus of my freelance work,Clients choose the tool(s) and it causes no problems,,4,,,Engineers,,Medical Professionals,,,Executives,,,,,,Myself,,Engineer,"Data visualization is one of several things I do in my job, but not a primary or secondary focus of my role",I’m able to choose my own tools,,2,,,,,,,,Executives,,,,,,Myself,,1,,,,,,Information technology,,,,,,100-499 employees,2. Disagree,Multi-/Interdisciplinary Studies,1,,Teaching data visualization as a course topic,,,,,,,,5 or less,Very True of Me,Very True of Me,True of me,Very True of Me,Very True of Me,3,,,,,Excel,,,,,,,,,,,,,Power BI,,,,,,,Tableau,,,,,,,,,,7,Line Chart,Bar Chart,,Scatterplot,Histogram,,Infographic,,Treemap,,,Choropleth Map,,,,,,,,,4,,Dashboard,,,,Document or report,Presentations,,,,,,,,,,Social media,,2,Lack of time,,Lack of technical skill,,,,,,,,,,,,Js.d3,"That it may be useful, not just pretty",No,No,Yes,1,,,,,,"No, my compensation and benefits were not negatively affected",,Learning a new technical tool or library,,3,,,,Video tutorials,Collaborating with more skilled practitioners,Working through a project,,,,,,1,Lack of awareness of the impact of dataviz,,,,,,,,,,,"Alexey Kolokolov, Alex varlamov, Shirley wo, Susie lu, Giorgia lupi, Nadieh Bremer, Kirell Benzi",Russia,Female,No,Master’s (or similar graduate degree),1,,,,,,"Science, Math, and Technology",,,,,1,,,,,,"Science, Math, and Technology",,,,,Yes,19.7,8,
676,58,59,4,Freelance/Consultant/Independent contractor,Position in an organization with some dataviz job responsibilities,Non-compensated data visualization hobbyist,,Academic/Teacher,,,6–10,6–10,GBP - British Pound,,$60 - $74,No,3,Conference registration,,Data visualization software licenses,Workshops or training seminars,,,,,,Journalist,"Data visualization is an important secondary part of my freelance work, but not the primary focus",I’m able to choose my own tools,,3,General Public,,,,,,,,,,Students,,,Myself,,None of these describes my role,"Data visualization is an important secondary part of my job, but not the primary focus",We have a set list of tools we’re expected to use for data visualization and this causes no problems,,3,General Public,,,,,,,,,,Students,Educators,,,,1,,,,Non-profit,,,,,,,,Fewer than 20 employees,1. Strongly Disagree,Arts and Humanities,1,,Teaching data visualization as a course topic,,,,,,,,11–20,Very True of Me,Very True of Me,Very Untrue of Me,True of me,Very True of Me,6,,,,Datawrapper,,Flourish,ggplot2,,,,,,,,,,,,,,,,R,,,,,,,Pen & paper,Physical materials (other than pen and paper),,,,7,Line Chart,Bar Chart,Pie Chart/Donut Chart,Scatterplot,Histogram,,,,,,,Choropleth Map,,,,,,Bee Swarm Chart,,,9,,,Scrollytelling,Static web page,,Document or report,Presentations,,Newspaper or magazine,,,Physical medium other than printed on paper,,Installation,,Video,Social media,,3,,,,,Accessing data,,,,,Not enough respect for dataviz,,Too much effort spent on non-viz activity,,,,"That to make visualisations you need raw, clean and preferably tidy data",Yes,No,No,1,,,,,,,"No, I started my job after the pandemic began and my compensation remained unchanged",Learning a new technical tool or library,,5,Books,,Examples,Video tutorials,,Working through a project,Mentoring/teaching others,,,,,3,Lack of awareness of the impact of dataviz,,Diversity in tech,,,,,,,Lack of software literacy,,"Alberto Cairo, Moritz Stefaner, Gabrielle Merite, Jen Christiansen, Stefanie Posavec,",United Kingdom,Female,No,"Doctoral degree (e.g., PhD, EdD, PsyD)",1,Arts and Humanities,,,,,,,,,,1,Arts and Humanities,,,,,,,,,,Yes,18.1,8,
1491,58,58,3,Freelance/Consultant/Independent contractor,Position in an organization with some dataviz job responsibilities,Non-compensated data visualization hobbyist,,,,,6–10,6–10,EUR - Euro,"$80,000 - $99,999",$45 - $59,Yes,3,Conference registration,Conference travel and lodging,,,Professional association memberships,,,,,Developer,Data visualization is the primary focus of my freelance work,I’m able to choose my own tools,,4,General Public,,,Scientists,,,,,,Researchers,,,,Myself,,"Leadership (Manager, Director, VP, etc.)",Data visualization is the primary focus of my job,We have a set list of tools we’re expected to use for data visualization and it causes some problems,Development,4,,,,Scientists,Medical Professionals,,,Executives,,Researchers,,,,,,1,,,,,Healthcare/medical,,,,,,,"1,000+ employees",4. Agree,,,,,,,,,,,,5 or less,Very True of Me,True of me,Untrue of Me,True of me,Very True of Me,11,,D3.js,,,Excel,,ggplot2,,,,Illustrator,,,Mapbox,,Observable,,,PowerPoint,,,Qlik,R,,,,,,WebGL,,,,P5/Processing,,12,Line Chart,Bar Chart,Pie Chart/Donut Chart,Scatterplot,Histogram,Hexbin/Heatmap,Infographic,,Treemap,,Network Diagram,,,,"Flow Chart (Sankey, DAGRE, Alluvial)",,,Bee Swarm Chart,Force-Directed Graph,,5,,,,,Interactive notebook,Document or report,,Email,,Peer reviewed journal publication,,,,,,,Social media,,3,,,,,,,,,,Not enough respect for dataviz,Technical limitations of the tools,Too much effort spent on non-viz activity,,,,How important design is. Sometimes they think the programming part is everything in a data viz project,Yes,Yes,Yes,1,,,,,,"No, my compensation and benefits were not negatively affected",,Improving my data skills,,2,,Workshops,,,,Working through a project,,,,,,3,,Data visualization not having a “seat at the table”,,,Lack of data visualization literacy,Designing for disabilities,,,,,,"Giorgia Lupi, Pedro Cruz",Germany,Female,No,Master’s (or similar graduate degree),1,Arts and Humanities,,,,,,,,,,1,Arts and Humanities,,,,,,,,,,Yes,382.3,8,
579,58,58,3,Freelance/Consultant/Independent contractor,Position in an organization with some dataviz job responsibilities,Non-compensated data visualization hobbyist,,,,,1,1,USD - US Dollar,"$100,000 - $119,999",I am not compensated on an hourly or project basis,Yes,6,Conference registration,Conference travel and lodging,Data visualization software licenses,Workshops or training seminars,Professional association memberships,Professional books,,,,Developer,Data visualization is the primary focus of my freelance work,I’m able to choose my own tools,,2,General Public,,,,,,,,,,,,,,journals,Designer,Data visualization is the primary focus of my job,I’m able to choose my own tools,,5,,Analysts,Engineers,,,Product or Project Managers,,Executives,,,,,,Myself,,1,,,Private sector,,,,,,,,,500-999 employees,3. Neither Agree nor Disagree,,,,,,,,,,,,6–10,Very True of Me,Untrue of Me,Very True of Me,Very True of Me,Very True of Me,5,,D3.js,,,,,,,,,Illustrator,,,,,Observable,Plotly,,,,,,,,,,,,,Pen & paper,,,,,10,Line Chart,Bar Chart,,Scatterplot,Histogram,,Infographic,Pictorial Visualization,Treemap,,Network Diagram,,,,,,,Bee Swarm Chart,Force-Directed Graph,,5,,Dashboard,Scrollytelling,,Interactive notebook,Document or report,,,,,,,,,,,Social media,,6,Lack of time,Lack of design expertise,Lack of technical skill,Learning new tools/approaches,,Information overload,,Lack of mentorship,,,,,,,none,lack of data literacy,Yes,No,No,1,,,,,,"No, my compensation and benefits were not negatively affected",,Improving my skills with an existing technical tool or library,,4,,Workshops,,,Collaborating with more skilled practitioners,Working through a project,Mentoring/teaching others,,,,,3,,,,,,Designing for disabilities,,Algorithmic bias,Lack of ethical standards for visualizing data,,,"Shirley Wu, Nadieh Bremehr, Will Chase",United States,Female,No,Master’s (or similar graduate degree),2,Arts and Humanities,,,,,"Science, Math, and Technology",,,,,1,Arts and Humanities,,,,,,,,,,Yes,2655.2,8,
760,57,60,4,Freelance/Consultant/Independent contractor,Position in an organization with some dataviz job responsibilities,Non-compensated data visualization hobbyist,,Academic/Teacher,,,6–10,11–15,USD - US Dollar,"$40,000 - $59,999",$75 - $99,No,1,,,,,,Professional books,,,,Scientist,Data visualization is the primary focus of my freelance work,I’m able to choose my own tools,,5,,Analysts,,Scientists,,,Policy Makers,Executives,,Researchers,,,,,,Scientist,"Data visualization is an important secondary part of my job, but not the primary focus",We have a set list of tools we’re expected to use for data visualization and it causes some problems,Customizability,6,General Public,,,Scientists,,,Policy Makers,,,Researchers,Students,Educators,,,,3,Journalism,,,,,Information technology,,,Academia,,,500-999 employees,5. Strongly Agree,"Science, Math, and Technology",3,Communication of research findings,Teaching data visualization as a course topic,Other instructional purposes,,,,,,,11–20,Very True of Me,Very True of Me,True of me,True of me,Very True of Me,11,,D3.js,,,,Flourish,,Gephi,,,,,Leaflet,Mapbox,kepler.gl,,,Power BI,,Python,,,,,,Vega,,,,,,Canvas,,D3plus,13,Line Chart,Bar Chart,,Scatterplot,,Hexbin/Heatmap,Infographic,,Treemap,Dendrogram,Network Diagram,Choropleth Map,,,"Flow Chart (Sankey, DAGRE, Alluvial)",,,Bee Swarm Chart,Force-Directed Graph,Chord diagrams,4,,Dashboard,Scrollytelling,Static web page,Interactive notebook,,,,,,,,,,,,,,5,Lack of time,Lack of design expertise,,Learning new tools/approaches,,,Lack of collaboration,,,,,,,Hard to educate clients about value of dataviz,,Interactivity takes time. Good interactivity takes a LOT of time.,Yes,No,Yes,1,,,,,,"No, my compensation and benefits were not negatively affected",,Improving my design skills,,3,Books,,,,,Working through a project,Mentoring/teaching others,,,,,4,Lack of awareness of the impact of dataviz,Data visualization not having a “seat at the table”,,,Lack of data visualization literacy,,,,Lack of ethical standards for visualizing data,,,,United Kingdom,Male,No,"Doctoral degree (e.g., PhD, EdD, PsyD)",1,,,,,,"Science, Math, and Technology",,,,,2,,Business,,,,"Science, Math, and Technology",,,,,Yes,62.5,8,
1656,57,59,5,Freelance/Consultant/Independent contractor,Position in an organization with some dataviz job responsibilities,Non-compensated data visualization hobbyist,,Academic/Teacher,Passive income from data visualization related products,,16–20,26–30,USD - US Dollar,"$180,000 - $199,999",$175 - $199,Yes,5,Conference registration,Conference travel and lodging,,Workshops or training seminars,,Professional books,Tuition for graduate coursework,,,Designer,Data visualization is the primary focus of my freelance work,Clients choose the tool(s) and it causes no problems,,10,General Public,Analysts,Engineers,,Medical Professionals,,Policy Makers,Executives,,Researchers,Students,Educators,,Myself,,Designer,"Data visualization is an important secondary part of my job, but not the primary focus",,,6,,Analysts,Engineers,,,Product or Project Managers,,Executives,,,,,Other Data Visualization Enthusiasts,Myself,,5,,Public sector (government),Private sector,,Healthcare/medical,Information technology,,Finance,,,,500-999 employees,4. Agree,"Science, Math, and Technology",2,,Teaching data visualization as a course topic,,As a topic of academic research,,,,,,5 or less,Very True of Me,Very Untrue of Me,Very True of Me,True of me,Neutral,3,,,,,Excel,,,,,,,,,,,,,,,,,,,,,,,,,Pen & paper,,,,"Google sheets, QuickSight",7,Line Chart,Bar Chart,Pie Chart/Donut Chart,Scatterplot,Histogram,,,,,,Network Diagram,,,,,,,,Force-Directed Graph,,7,Embedded in a tool,Dashboard,,Static web page,,,Presentations,Email,,,Physical handout or Printed on paper,,,,,,Social media,,3,,,,Learning new tools/approaches,,,Lack of collaboration,,,,,,Data volume,,,Context and audience matters more than anything else.,Yes,No,No,1,,"Yes, I took a permanent pay cut",,,,,,I don’t feel I need to improve my data visualization skills currently,,4,Books,,Examples,,Collaborating with more skilled practitioners,Working through a project,,,,,,3,,,,,Lack of data visualization literacy,,,Algorithmic bias,Lack of ethical standards for visualizing data,,,,United States,Male,No,Master’s (or similar graduate degree),1,,,,,,"Science, Math, and Technology",,,,,2,,,,,,"Science, Math, and Technology",,,,Design,I don’t know,13.0,8,
2100,57,58,3,,Position in an organization with some dataviz job responsibilities,Non-compensated data visualization hobbyist,Student in a degree program at a college or university,,,,2,6–10,GBP - British Pound,"$40,000 - $59,999",I am not compensated on an hourly or project basis,No,5,Conference registration,Conference travel and lodging,,Workshops or training seminars,Professional association memberships,Professional books,,,,,,,,,,,,,,,,,,,,,,,,Analyst,"Data visualization is one of several things I do in my job, but not a primary or secondary focus of my role",I’m able to choose my own tools,,3,,,,,,Product or Project Managers,,Executives,,,,,Other Data Visualization Enthusiasts,,,2,,,,,,Information technology,,,,,"Entertainment, TV, OTT",20-99 employees,3. Neither Agree nor Disagree,,,,,,,,Part time,Undergraduate/Bachelor’s,No,Data Analysis,5 or less,True of me,Very True of Me,Neutral,Neutral,Very True of Me,6,,D3.js,,,Excel,,,,,,,,,,,,Plotly,Power BI,PowerPoint,Python,,,,,,,,,,,,,,,4,Line Chart,Bar Chart,Pie Chart/Donut Chart,,Histogram,,,,,,,,,,,,,,,,3,,Dashboard,,,,Document or report,Presentations,,,,,,,,,,,,3,,Lack of design expertise,Lack of technical skill,,Accessing data,,,,,,,,,,"Gaining enough experience, in particular when it comes to the UX/design side of it. I am struggling to find a mentor in my organisation, and I don't have enough time to dedicate to an open source project that I can get feedback on from anyone.","That a dashboard is only as good as the question you ask of it - if that is not clear or the expectation is to have a giant dashboard to rule them all, you end up not answering any questions at all.",No,No,Yes,1,,,,"Yes, a pay increase I was expecting was deferred",,,,Improving my design skills,,4,Books,,Examples,Video tutorials,,Working through a project,,,,,,3,Lack of awareness of the impact of dataviz,,,,Lack of data visualization literacy,Designing for disabilities,,,,,,,United Kingdom,Female,No,Master’s (or similar graduate degree),1,Arts and Humanities,,,,,,,,,,1,,,,,,,,,,Library studies,Yes,11.4,8,
2070,57,58,3,Freelance/Consultant/Independent contractor,Position in an organization with some dataviz job responsibilities,Non-compensated data visualization hobbyist,,,,,3,5,CHF - Swiss Franc,"$80,000 - $99,999",$75 - $99,Yes,3,Conference registration,,,,Professional association memberships,,Tuition for graduate coursework,,,Scientist,Data visualization is the primary focus of my freelance work,I’m able to choose my own tools,,5,General Public,,,Scientists,,Product or Project Managers,,,,Researchers,,,Other Data Visualization Enthusiasts,,,Scientist,Data visualization is the primary focus of my job,I’m able to choose my own tools,,4,General Public,,,Scientists,,Product or Project Managers,,,,Researchers,,,,,,1,,Public sector (government),,,,,,,,,,100-499 employees,3. Neither Agree nor Disagree,,,,,,,,,,,,6–10,True of me,True of me,Neutral,Very True of Me,Very True of Me,7,ArcGIS,,,,,,ggplot2,,,,,,,Mapbox,,,Plotly,,,,QGIS,,R,,,,,,,,,,,Inkscape,10,Line Chart,Bar Chart,,Scatterplot,Histogram,Hexbin/Heatmap,,,Treemap,,Network Diagram,Choropleth Map,,Waffle Chart,"Flow Chart (Sankey, DAGRE, Alluvial)",,,,,,5,,,,Static web page,,Document or report,Presentations,,,Peer reviewed journal publication,,,,,,,Social media,,5,Lack of time,,,,,Information overload,,Lack of mentorship,Low data literacy,,Technical limitations of the tools,,,,Accessing the community without a pay wall,How uniquely important the task is (#datasaurus),Yes,No,No,1,,,,,,"No, my compensation and benefits were not negatively affected",,Improving my design skills,,1,,,,,,Working through a project,,,,,,3,Lack of awareness of the impact of dataviz,,,,Lack of data visualization literacy,,Lack of access to education,,,,,Cedric scherer,Switzerland,Male,No,Master’s (or similar graduate degree),1,,,,,,"Science, Math, and Technology",,,,,1,,,,,,"Science, Math, and Technology",,,,,No,12.8,8,
1838,57,58,3,,Position in an organization with some dataviz job responsibilities,Non-compensated data visualization hobbyist,Student in a degree program at a college or university,,,,1,Less than 1 year,USD - US Dollar,"$100,000 - $119,999",I am not compensated on an hourly or project basis,No,3,,,,Workshops or training seminars,,Professional books,Tuition for graduate coursework,,,,,,,,,,,,,,,,,,,,,,,Scientist,"Data visualization is an important secondary part of my job, but not the primary focus",I’m able to choose my own tools,,2,,,,,,Product or Project Managers,,,,,,,,Myself,,1,,,Private sector,,,,,,,,,Fewer than 20 employees,5. Strongly Agree,,,,,,,,Part time,Graduate/Master’s,"Yes, in an elective course",Data science,5 or less,Very True of Me,True of me,Very Untrue of Me,True of me,Very True of Me,7,,D3.js,,,,,ggplot2,,,,,,,,,Observable,Plotly,,,Python,,,R,,Tableau,,,,,,,,,,6,Line Chart,Bar Chart,,Scatterplot,Histogram,,Infographic,,,,,,,,,,,Bee Swarm Chart,,,4,,Dashboard,,,,Document or report,Presentations,Email,,,,,,,,,,,6,Lack of time,Lack of design expertise,Lack of technical skill,Learning new tools/approaches,Accessing data,,,,,,Technical limitations of the tools,,,,Lacking technical skill to create what is in my head,I'm not sure. I feel they understand the importance of data visualization and the presentations I've shown so far.,Yes,Yes,No,1,,,,,,,"Many jobs and internships were cancelled at the start of the pandemic, and job searching had been slow for roughly 6 months.",Improving my data skills,,3,,,,Video tutorials,Collaborating with more skilled practitioners,Working through a project,,,,,,2,Lack of awareness of the impact of dataviz,,,,Lack of data visualization literacy,,,,,,,"Shirley Wu, Amelia Wattenberger, Nadieh Bremer, JP Hwang, Todd Whitehead, Owen Phillips, Federica Fragapane, Entire Kontinentalist team",United States,Male,"Yes, and I would like to specify:",Master’s (or similar graduate degree),1,,,,,,"Science, Math, and Technology",,,,,1,,,,,,"Science, Math, and Technology",,,,,Yes,11.2,8,
1300,57,58,3,Freelance/Consultant/Independent contractor,Position in an organization with some dataviz job responsibilities,Non-compensated data visualization hobbyist,,,,,6–10,21–25,AUD - Australian Dollar,"$140,000 - $159,999",,Yes,2,,,,Workshops or training seminars,,Professional books,,,,Designer,Data visualization is the primary focus of my freelance work,I’m able to choose my own tools,,3,General Public,,,,,Product or Project Managers,,,,,,,,Myself,,"Leadership (Manager, Director, VP, etc.)",Data visualization is the primary focus of my job,We have a set list of tools we’re expected to use for data visualization and it causes some problems,Versions not updated and they have limits on type of visualisations you can create,3,,Analysts,,,,Product or Project Managers,,Executives,,,,,,,,1,,,,,,,,Finance,,,,"1,000+ employees",4. Agree,,,,,,,,,,,,6–10,Very True of Me,Neutral,Neutral,Neutral,Very True of Me,11,,D3.js,,,Excel,,ggplot2,,,,Illustrator,,,,,Observable,Plotly,,PowerPoint,,,,R,,Tableau,,,,,Pen & paper,,,,R and various packages (not just ggplot or plotly),11,Line Chart,Bar Chart,Pie Chart/Donut Chart,Scatterplot,Histogram,Hexbin/Heatmap,,,Treemap,,Network Diagram,Choropleth Map,,Waffle Chart,"Flow Chart (Sankey, DAGRE, Alluvial)",,,,,,3,,Dashboard,,,,Document or report,Presentations,,,,,,,,,,,,2,,,Lack of technical skill,,,,,,,,Technical limitations of the tools,,,,,It's so much more than the visual - all the work that goes on before the visual is created,Yes,No,No,1,,,,,,"No, my compensation and benefits were not negatively affected",,Improving my skills with an existing technical tool or library,,4,Books,,Examples,Video tutorials,,Working through a project,,,,,,2,,,Diversity in tech,,,Designing for disabilities,,,,,,"Scott Murray, the whole team at Observable, the blog from Lisa and team at Data Wrapper, Jason Forrest and Nightingale team, Giorgia Lupi",Australia,Female,No,Master’s (or similar graduate degree),1,Arts and Humanities,,,,,,,,,,2,,,,,,"Science, Math, and Technology",,,Multi-/Interdisciplinary Studies,,Yes,12.6,8,
